,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
1108,55810-61-2,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,55810-61-2,ethyl 2-cyano-2-(perfluoropyridin-4-yl)acetate,DCE,C(CCl)Cl,49.4,Ejoc202001649-sup-00001-misc_information.pdf
17,62325-34-2,CCOC(=O)C(C#N)C1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",MeCN,CC#N,17.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
853,62325-34-2,CCOC(=O)C(C#N)C1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",MeCN,CC#N,17.48,Ejoc202001649-sup-00001-misc_information.pdf
1104,62325-34-2,CCOC(=O)C(C#N)C1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",DCE,C(CCl)Cl,52,Ejoc202001649-sup-00001-misc_information.pdf
30,1582-05-4,CCOC(=O)C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)OCC,1582-05-4,"diethyl 2-(2,3,4,5,6-pentafluorophenyl)propanedioate",MeCN,CC#N,22.85,MeCN_Acids_COSMO-RS_2008_Table.pdf
811,1582-05-4,CCOC(=O)C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)OCC,1582-05-4,"diethyl 2-(2,3,4,5,6-pentafluorophenyl)propanedioate",MeCN,CC#N,22.88,Ejoc202001649-sup-00001-misc_information.pdf
1439,(C6F5)CH(COOEt)2,CCOC(=O)C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)OCC,1582-05-4,"diethyl 2-(2,3,4,5,6-pentafluorophenyl)propanedioate",MeCN,CC#N,22.85,leito_acids
221,HCl,Cl,7647-01-0,chlorane,MeCN,CC#N,8.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
231,HCl,Cl,7647-01-0,chlorane,MeCN,CC#N,10.3,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
252,HCl,Cl,7647-01-0,chlorane,DCE,C(CCl)Cl,45.2,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
263,HCl,Cl,7647-01-0,chlorane,DMSO,CS(=O)C,-2,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
279,HCl,Cl,7647-01-0,chlorane,H2O,O,-5.9,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
414,HCl,Cl,7647-01-0,chlorane,MeCN,CC#N,10.3,DCE_2011_pKa_Table_MeCN.pdf
486,HCl,Cl,7647-01-0,chlorane,MeCN,CC#N,10.3,a_unified_view_to_bronsted_acidity_scales.pdf
678,HCl,Cl,7647-01-0,chlorane,MeCN,CC#N,10.3,pKa_values_of_acids_in_acetonitrile.pdf
907,7647-01-0,Cl,7647-01-0,chlorane,MeCN,CC#N,10.3,Ejoc202001649-sup-00001-misc_information.pdf
1017,7647-01-0,Cl,7647-01-0,chlorane,H2O,O,-5.9,Ejoc202001649-sup-00001-misc_information.pdf
1089,7647-01-0,Cl,7647-01-0,chlorane,DMSO,CS(=O)C,-2,Ejoc202001649-sup-00001-misc_information.pdf
1116,7647-01-0,Cl,7647-01-0,chlorane,DCE,C(CCl)Cl,45.2,Ejoc202001649-sup-00001-misc_information.pdf
1156,7647-01-0,Cl,7647-01-0,chlorane,DMF,CN(C)C=O,2.36,Ejoc202001649-sup-00001-misc_information.pdf
1505,HCl,Cl,7647-01-0,chlorane,MeCN,CC#N,10.3,leito_acids
1587,HCl,Cl,7647-01-0,chlorane,DCE,C(CCl)Cl,45.2,leito_acids
1223,49778-01-0,CN(C)[P+](N)(N(C)C)N(C)C,-,amino-tris(dimethylamino)phosphanium,H2O,O,15.1,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
