,name,smiles,cas,iupac,new smiles
29,(4-Cl-C6F4)(C6F5)CHCN,FC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(Cl)C(=C2F)F)F)C(=C1F)F)F,42238-36-8,"2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)Cl)F)F
30,"2,4,6-Br3-phenol",OC1=C(Br)C=C(Br)C=C1Br,118-79-6,"2,4,6-tribromophenol",C1=C(C=C(C(=C1Br)O)Br)Br
31,"(2,4,6-Cl3-C6F2)(C6F5)CHCN",FC1=C(F)C(=C(C(C#N)C2=C(Cl)C(=C(Cl)C(=C2Cl)F)F)C(=C1F)F)F,64934-69-6,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile",C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2Cl)F)Cl)F)Cl
32,"2,3,5,6-F4-phenol",OC1=C(F)C(=CC(=C1F)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",C1=C(C(=C(C(=C1F)F)O)F)F
33,"2,3,4,5,6-F5-phenol",OC1=C(F)C(=C(F)C(=C1F)F)F,771-61-9,"2,3,4,5,6-pentafluorophenol",C1(=C(C(=C(C(=C1F)F)F)F)F)O
34,(2-C10F7)(C6F5)CHCN,FC1=C(F)C(=C(C(C#N)C2=C(F)C3=C(F)C(=C(F)C(=C3C(=C2F)F)F)F)C(=C1F)F)F,64934-68-5,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
35,1-perfluoronaphtol,OC1=C2C(=C(F)C(=C(F)C2=C(F)C(=C1F)F)F)F,5386-30-1,"2,3,4,5,6,7,8-heptafluoronaphthalen-1-ol",C12=C(C(=C(C(=C1O)F)F)F)C(=C(C(=C2F)F)F)F
36,"2,4,6-(SO2F)3-aniline",NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,133213-11-3,-,no matches
37,(2-C10F7)2CHCN,FC1=C(F)C2=C(F)C(=C(C(C#N)C3=C(F)C4=C(F)C(=C(F)C(=C4C(=C3F)F)F)F)C(=C2C(=C1F)F)F)F,62325-38-6,-,no matches
38,9-C6F5-octafluorofluorene,FC1=C(F)C(=C(C2C3=C(C(=C(F)C(=C3F)F)F)C4=C2C(=C(F)C(=C4F)F)F)C(=C1F)F)F,63264-80-2,"1,2,3,4,5,6,7,8-octafluoro-9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene",C1(C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F
39,2-Perfluoronaphthol,OC1=C(F)C2=C(F)C(=C(F)C(=C2C(=C1F)F)F)F,727-49-1,"1,3,4,5,6,7,8-heptafluoronaphthalen-2-ol",C12=C(C(=C(C(=C1F)O)F)F)C(=C(C(=C2F)F)F)F
