,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
217,CC(=[NH+]O)N1CCOCC1,O,0,0,13.99,['13.99'],['pKa_prospector']
218,CC(=NO)S(C)(=O)=O,O,0,0,8.73,['8.73'],['pKa_prospector']
219,CC(=NO)SCC(=O)N(C)C,O,0,0,11.27,['11.27'],['pKa_prospector']
220,CC(=NO)SCC(=O)N1CCCC1,O,0,0,11.53,['11.53'],['pKa_prospector']
221,CC(=NO)SCC(=O)N1CCOCC1,O,0,0,11.45,['11.45'],['pKa_prospector']
222,CC(=NO)SCCC#N,O,0,0,11.35,['11.35'],['pKa_prospector']
223,CC(=NO)c1ccc([N+](=O)[O-])cc1,O,0,0,9.84,['9.84'],['pKa_prospector']
224,CC(=NO)c1cccc([N+](=O)[O-])c1,O,0,0,10.13,['10.13'],['pKa_prospector']
225,CC(=NO)c1ccccc1,O,0,0,11.17,['11.17'],['pKa_prospector']
226,CON=C(C)C(=NO)C(=O)N(C)C,O,0,0,9.46,['9.46'],['pKa_prospector']
227,CC(Nc1ccccc1)=[NH+]c1ccccc1,O,0,0,8.3,['8.30'],['pKa_prospector']
228,CC(=O)C(C#N)=N[N-]c1cc(Cl)cc(Cl)c1,O,0,0,4.9,['4.90'],['pKa_prospector']
229,CC(=O)C(C#N)=N[N-]c1cc(C(F)(F)F)ccc1Cl,O,0,0,4.6,['4.60'],['pKa_prospector']
230,CC(=O)C(C#N)=N[N-]c1ccc(Cl)c(Cl)c1,O,0,0,5.1,['5.10'],['pKa_prospector']
231,CC(=O)C(C#N)=N[N-]c1ccc(Cl)cc1,O,0,0,5.4,['5.40'],['pKa_prospector']
232,CC(=O)C(C#N)=N[N-]c1ccc(SC(F)(F)F)cc1,O,0,0,5.55,['5.55'],['pKa_prospector']
233,CC(=O)C(C#N)=N[N-]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O,0,0,4.2,['4.20'],['pKa_prospector']
234,CC(=O)C(C#N)=N[N-]c1ccc2c(c1)OC(F)(F)C(F)(F)O2,O,0,0,4.8,['4.80'],['pKa_prospector']
235,CC(=O)C(C#N)=N[N-]c1cccc(Cl)c1,O,0,0,5.6,['5.60'],['pKa_prospector']
236,CC(=O)C(C#N)=N[N-]c1ccccc1Cl,O,0,0,5.55,['5.55'],['pKa_prospector']
237,CC(=O)C(=NO)C(=O)N(C)C,O,0,0,8.2,['8.20'],['pKa_prospector']
238,CC(=O)C(CC[NH+]1CCOCC1)(c1ccccc1)c1ccccc1,O,0,0,6.83,['6.83'],['pKa_prospector']
239,CC(=O)C(C[NH+]1CCCCC1)c1ccccc1,O,0,0,8.8,['8.80'],['pKa_prospector']
240,CC(=O)C(C[NH+]1CCOCC1)c1ccccc1,O,0,0,6.23,['6.23'],['pKa_prospector']
241,CC(=O)C1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,O,0,0,4.23,['4.23'],['pKa_prospector']
242,CC(=O)C1C(=O)c2cccc(Cl)c2C1=O,O,0,0,2.38,['2.38'],['pKa_prospector']
243,CC(=O)C1C(=O)c2cccc(I)c2C1=O,O,0,0,2.67,['2.67'],['pKa_prospector']
244,CC(=O)C1C(=O)c2ccccc2C1=O,O,0,0,2.94,['2.94'],['pKa_prospector']
245,CC(=O)CC(CC(=O)[O-])c1ccccc1,O,0,0,4.5,['4.50'],['pKa_prospector']
246,CC(=O)CC(c1ccc(Br)cc1)c1c([O-])c2ccccc2oc1=O,O,0,0,5,['5.00'],['pKa_prospector']
247,CC(=O)CC(c1ccc(Cl)cc1)c1c([O-])c2ccccc2oc1=O,O,0,0,4.9,['4.90'],['pKa_prospector']
248,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c([O-])c2ccccc2oc1=O,O,0,0,4.88,['4.88'],['pKa_prospector']
249,COc1ccc(C(CC(C)=O)c2c([O-])c3ccccc3oc2=O)cc1,O,0,0,5.1,['5.10'],['pKa_prospector']
250,CC(=O)CC(c1cccc(Cl)c1)c1c([O-])c2ccccc2oc1=O,O,0,0,5,['5.00'],['pKa_prospector']
251,CC(=O)CC(c1cccc([N+](=O)[O-])c1)c1c([O-])c2ccccc2oc1=O,O,0,0,4.9,['4.90'],['pKa_prospector']
252,COc1cccc(C(CC(C)=O)c2c([O-])c3ccccc3oc2=O)c1,O,0,0,5,['5.00'],['pKa_prospector']
253,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,O,0,0,5.08,['5.08'],['pKa_prospector']
